;$FILEVERSION=1.1
;$STARTTIME=45937.0536003472
;
;   Start time: 07/10/2025 01:17:11.070.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   317)       426.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   318)       426.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   319)       426.9  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   320)       427.4  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   321)       429.4  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   322)       429.7  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   323)       461.2  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   324)       462.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   325)       462.2  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   326)       463.2  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   327)       463.3  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   328)       464.2  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   329)       465.1  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   330)       465.2  Rx     1807F401  8  00 01 60 A8 02 A0 80 00 
   331)       466.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   332)       466.2  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   333)       467.4  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   334)       467.5  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   335)       468.1  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   336)       469.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   337)       469.8  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   338)       469.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   339)       470.0  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   340)       470.8  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   341)       470.9  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   342)       471.8  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   343)       473.2  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   344)       473.5  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   345)       474.1  Rx     18130181  8  0C EC 0C E3 34 33 06 32 
